Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Larry Bird,28,BOS,73,763,780,0.978,80,39.5,28.7,10.5,6.6,1.6,1.2,.522,.427,.882,15.7,.238,birdla01
2,Magic Johnson,25,LAL,1,264,780,0.338,77,36.1,18.3,6.2,12.6,1.5,0.3,.561,.189,.843,12.7,.220,johnsma02
3,Moses Malone,29,PHI,0,218,780,0.279,79,37.4,24.6,13.1,1.6,0.8,1.6,.469,.000,.815,11.9,.193,malonmo01
4,Kareem Abdul-Jabbar,37,LAL,0,206,780,0.264,79,33.3,22.0,7.9,3.2,0.8,2.1,.599,.000,.732,11.2,.204,abdulka01
5,Terry Cummings,23,MIL,2,138,780,0.177,79,34.5,23.6,9.1,2.9,1.5,0.8,.495,.000,.741,10.7,.189,cummite01
6,Michael Jordan,21,CHI,2,134,780,0.172,82,38.3,28.2,6.5,5.9,2.4,0.8,.515,.173,.845,14.0,.213,jordami01
7,Bernard King,28,NYK,0,70,780,0.090,55,37.5,32.9,5.8,3.7,1.3,0.3,.530,.100,.772,7.1,.166,kingbe01
8,Sidney Moncrief,27,MIL,0,65,780,0.083,73,37.5,21.7,5.4,5.2,1.6,0.5,.483,.273,.828,11.2,.197,moncrsi01
9,Isiah Thomas,23,DET,0,63,780,0.081,81,38.1,21.2,4.5,13.9,2.3,0.3,.458,.257,.809,11.2,.173,thomais01
10,Ralph Sampson,24,HOU,0,26,780,0.033,82,37.6,22.1,10.4,2.7,1.0,2.0,.502,.000,.676,6.2,.096,sampsra01
11,Calvin Natt,28,DEN,0,22,780,0.028,78,34.1,23.3,7.8,3.1,1.0,0.4,.546,.000,.793,10.2,.185,nattca01
12T,Alex English,31,DEN,0,12,780,0.015,81,36.1,27.9,5.7,4.2,1.2,0.6,.518,.200,.829,8.9,.146,englial01
12T,Hakeem Olajuwon,22,HOU,0,12,780,0.015,82,35.5,20.6,11.9,1.4,1.2,2.7,.538,,.613,10.2,.168,olajuha01
14,Micheal Ray Richardson,29,NJN,0,11,780,0.014,82,38.1,20.1,5.6,8.2,3.0,0.3,.469,.252,.767,8.7,.134,richami01
15,Andrew Toney,27,PHI,0,5,780,0.006,70,32.0,17.8,2.5,5.2,0.9,0.3,.492,.371,.862,5.5,.118,toneyan01
16,Mark Eaton,28,UTA,0,4,780,0.005,82,34.3,9.7,11.3,1.5,0.4,5.6,.449,,.712,5.4,.093,eatonma01
17T,Paul Pressey,26,MIL,0,3,780,0.004,80,36.0,16.1,5.4,6.8,1.6,0.7,.517,.350,.758,9.6,.160,presspa01
17T,Jack Sikma,29,SEA,0,3,780,0.004,68,35.3,18.5,10.6,4.2,1.2,1.3,.489,.200,.852,8.3,.166,sikmaja01
17T,Dominique Wilkins,25,ATL,0,3,780,0.004,81,37.3,27.4,6.9,2.5,1.7,0.7,.451,.309,.806,7.6,.121,wilkido01
20T,World B. Free,31,CLE,0,2,780,0.003,71,31.7,22.5,3.0,4.5,1.1,0.2,.459,.368,.749,6.0,.127,freewo01
20T,Purvis Short,27,GSW,0,2,780,0.003,78,39.5,28.0,5.1,3.0,1.5,0.3,.460,.313,.817,6.2,.097,shortpu01
22T,Clyde Drexler,22,POR,0,1,780,0.001,80,31.9,17.2,6.0,5.5,2.2,0.9,.494,.216,.759,7.5,.141,drexlcl01
22T,Julius Erving,34,PHI,0,1,780,0.001,78,32.5,20.0,5.3,3.0,1.7,1.4,.494,.214,.765,7.6,.144,ervinju01
