Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Michael Jordan,24,CHI,47,665,800,0.831,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,.308,jordami01
2,Larry Bird,31,BOS,16,527,800,0.659,76,39.0,29.9,9.3,6.1,1.6,0.8,.527,.414,.916,15.0,.243,birdla01
3,Magic Johnson,28,LAL,16,508,800,0.635,72,36.6,19.6,6.2,11.9,1.6,0.2,.492,.196,.853,10.9,.199,johnsma02
4,Charles Barkley,24,PHI,1,109,800,0.136,80,39.6,28.3,11.9,3.2,1.3,1.3,.587,.280,.751,16.7,.253,barklch01
5,Clyde Drexler,25,POR,0,86,800,0.108,81,37.8,27.0,6.6,5.8,2.5,0.6,.506,.212,.811,13.2,.207,drexlcl01
6,Dominique Wilkins,28,ATL,0,55,800,0.069,78,37.8,30.7,6.4,2.9,1.3,0.6,.464,.295,.826,9.8,.160,wilkido01
7,Hakeem Olajuwon,25,HOU,0,40,800,0.050,79,35.8,22.8,12.1,2.1,2.1,2.7,.514,.000,.695,10.7,.182,olajuha01
8,Karl Malone,24,UTA,0,36,800,0.045,82,39.0,27.7,12.0,2.4,1.4,0.6,.520,.000,.700,10.1,.152,malonka01
9,Fat Lever,27,DEN,0,26,800,0.033,82,37.3,18.9,8.1,7.8,2.7,0.3,.473,.211,.785,10.4,.163,leverfa01
10,John Stockton,25,UTA,0,15,800,0.019,82,34.7,14.7,2.9,13.8,3.0,0.2,.574,.358,.840,14.1,.238,stockjo01
11,Alex English,34,DEN,0,4,800,0.005,80,35.2,25.0,4.7,4.7,0.9,0.3,.495,.000,.828,7.6,.129,englial01
12,Isiah Thomas,26,DET,0,3,800,0.004,81,36.1,19.5,3.4,8.4,1.7,0.2,.463,.309,.774,7.6,.124,thomais01
13,Mark Jackson,22,NYK,0,2,800,0.003,82,39.6,13.6,4.8,10.6,2.5,0.1,.432,.254,.774,7.6,.113,jacksma01
14T,Michael Adams,25,DEN,0,1,800,0.001,82,33.9,13.9,2.7,6.1,2.0,0.2,.449,.367,.834,7.5,.130,adamsmi01
14T,Mark Aguirre,28,DAL,0,1,800,0.001,77,33.9,25.1,5.6,3.6,0.9,0.7,.475,.302,.770,8.8,.163,aguirma01
14T,Adrian Dantley,32,DET,0,1,800,0.001,69,31.1,20.0,3.3,2.5,0.6,0.1,.514,.000,.860,9.4,.210,dantlad01
14T,Buck Williams,27,NJN,0,1,800,0.001,70,37.7,18.3,11.9,1.6,1.0,0.6,.560,1.000,.668,7.6,.138,willibu01
